time,open,high,low,close,tick_volume,actDir,actRisk,eReward,eAccBalance,eWins,eLosses,pType,pOpenPrice,pSLPrice,pTPPrice,pProfit
2020-11-10,1.1813,1.18433,1.17799,1.18172,126975,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-11-11,1.1814,1.18327,1.17455,1.17788,75972,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-11-12,1.17768,1.18232,1.17586,1.18056,79633,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-11-13,1.18047,1.18374,1.1799,1.18325,62296,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-11-16,1.18402,1.18689,1.18143,1.18539,73951,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-11-17,1.18505,1.18938,1.18427,1.18611,62696,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-11-18,1.1861,1.18909,1.18492,1.18544,68752,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-11-19,1.18525,1.18825,1.18164,1.18735,71482,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-11-20,1.18743,1.1891,1.18499,1.1858,62058,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-11-23,1.18526,1.19059,1.17999,1.1841,71116,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-11-24,1.18405,1.18959,1.18356,1.18927,71808,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-11-25,1.18914,1.19298,1.18819,1.19139,78370,-0.5019174,-0.5019174,0.0,10000.0,0,0,2,1.19139,1.1965,0.0,0.0
2020-11-26,1.19157,1.19409,1.18853,1.1913,45192,0.81047565,0.81047565,0.0,10000.0,0,0,2,1.19139,1.1965,0.0,0.0
2020-11-27,1.19126,1.19637,1.19066,1.19609,51930,0.41374117,0.41374117,0.0,10000.0,0,0,2,1.19139,1.1965,0.0,0.0
2020-11-30,1.19611,1.20034,1.19239,1.19257,78351,0.5491049,0.5491049,0.0,10000.0,0,0,2,1.19139,1.1965,0.0,0.0
2020-12-01,1.19256,1.20766,1.19242,1.2072,82365,1.0,1.0,0.0,9957.44,0,1,0,0.0,0.0,0.0,-42.56
2020-12-02,1.20688,1.21185,1.20401,1.21156,88376,1.0,1.0,0.0,9957.44,0,1,1,1.21156,1.2016,0.0,0.0
2020-12-03,1.21152,1.21746,1.21012,1.21479,80835,0.70380265,0.70380265,0.0,9957.44,0,1,1,1.21156,1.2016,0.0,0.0
2020-12-04,1.21437,1.21776,1.21102,1.21209,85253,1.0,1.0,0.0,9957.44,0,1,1,1.21156,1.2016,0.0,0.0
2020-12-07,1.21298,1.21663,1.20786,1.2109,82751,0.45435885,0.45435885,0.0,9957.44,0,1,1,1.21156,1.2016,0.0,0.0
2020-12-08,1.21091,1.2134,1.20954,1.21046,80209,-0.072328635,-0.072328635,0.0,9957.44,0,1,1,1.21156,1.2016,0.0,0.0
2020-12-09,1.21023,1.21473,1.20588,1.20814,78127,0.50041544,0.50041544,0.0,9957.44,0,1,1,1.21156,1.2016,0.0,0.0
2020-12-10,1.20799,1.2159,1.20746,1.21416,97123,-1.0,-1.0,0.0,9833.04,0,2,0,0.0,0.0,0.0,-124.4
2020-12-11,1.2136,1.21629,1.21054,1.21138,79389,1.0,1.0,0.0,9833.04,0,2,1,1.21138,1.2081,0.0,0.0
2020-12-14,1.21349,1.21768,1.21157,1.21431,69281,-0.045960665,-0.045960665,0.0,9833.04,0,2,1,1.21138,1.2081,0.0,0.0
2020-12-15,1.21436,1.2169,1.21215,1.21528,68450,-0.3393134,-0.3393134,0.0,9833.04,0,2,1,1.21138,1.2081,0.0,0.0
2020-12-16,1.21497,1.22123,1.21251,1.21994,83636,-1.0,-1.0,0.0,9973.94,1,2,0,0.0,0.0,0.0,140.9
2020-12-17,1.21988,1.22728,1.21901,1.22669,72196,1.0,1.0,0.0,9973.94,1,2,1,1.22669,1.2234,0.0,0.0
2020-12-18,1.22676,1.22711,1.22256,1.2255,66082,1.0,1.0,0.0,9973.94,1,2,1,1.22669,1.2234,0.0,0.0
2020-12-21,1.22199,1.22529,1.21296,1.22431,115963,-0.21385604,-0.21385604,0.0,9973.94,1,2,1,1.22669,1.2234,0.0,0.0
2020-12-22,1.2241,1.2257,1.21521,1.21629,86582,-1.0,-1.0,0.0,9886.060000000001,1,3,0,0.0,0.0,0.0,-87.88
2020-12-23,1.2162,1.22211,1.21539,1.21861,82063,0.5264623,0.5264623,0.0,9886.060000000001,1,3,1,1.21861,1.209,0.0,0.0
2020-12-24,1.21853,1.22156,1.21772,1.21808,40160,-0.0024409145,-0.0024409145,0.0,9886.060000000001,1,3,1,1.21861,1.209,0.0,0.0
2020-12-28,1.21796,1.22504,1.21795,1.22148,69211,0.30265078,0.30265078,0.0,9886.060000000001,1,3,1,1.21861,1.209,0.0,0.0
2020-12-29,1.22163,1.22752,1.2207,1.22498,66675,0.162886,0.162886,0.0,9886.060000000001,1,3,1,1.21861,1.209,0.0,0.0
2020-12-30,1.22474,1.23101,1.2244,1.22998,71677,1.0,1.0,0.0,9886.060000000001,1,3,1,1.21861,1.209,0.0,0.0
2020-12-31,1.22952,1.23094,1.22151,1.22168,64106,-0.664983,-0.664983,0.0,10304.060000000001,2,3,0,0.0,0.0,0.0,418.0
2021-01-04,1.22393,1.23096,1.22276,1.22521,103051,0.14951462,0.14951462,0.0,10304.060000000001,2,3,0,1.21808,1.2082,0.0,0.0
2021-01-05,1.22484,1.23058,1.22434,1.22986,95295,-0.7064343,-0.7064343,0.0,10304.060000000001,2,3,2,1.22986,1.2332,0.0,0.0
